Sample rows from table: mnrBill

ID	Number	Date	AccCustID	AccCustName	PayType	AccAccountID	CurrencyID	CurrencyVal	Notes	Total	TotalItem	TotalExtra	TotalDisc	ItemsExtra	ItemsDisc	Profits	Status	StoreID	CostJobID	BillTypeID	BranchID	SalesmanID	Vendor	UserID	IsPosted	VAT	Class	str1	str2	str3	str4	str5	str6	Date1	Date2	Date3	LinkID	TermType	TermCnt	IsPrinted	TimeIn	ParentID	ParentType	InsuranceID	InsurCardNum	InsurExpDate	InsurRate	InsurMaxVal	InsurClass	InsurNetwork	InsurNotes	TotalPaid	bCheck	ItemsDisc1	ItemsDisc2	EFaturaNumber	EmailSent	EBillType	CustID	Tax2	Tax3	BillOrigin
D3AF871E-E3AF-4375-9B6F-15D6BD65596D	1.0	2025-01-07 00:00:00	BB1DD927-B3EF-4B68-A3C1-ADA8490A1CB3	شركة التراث السعودى للتجارة	1	BB1DD927-B3EF-4B68-A3C1-ADA8490A1CB3	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	ايجار مكتب التراث السعودى المستحق من 07/01/2025حتى 07/07/2025	57155.0	49700.0	0.0	0.0	0.0	0.0	57155.0	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		B23C0B22-366E-4486-9A47-8E3C3A798E4E	1	7455.0								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	True	2025-01-06 10:02:23	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	0	D40911DC-387F-46F7-80EB-49916D73B02A	0.0	0.0	
7A87CCA6-B18B-48F4-9175-4CE19C702ECD	2.0	2025-01-01 00:00:00	A45EE5D4-5F44-46F8-ABC6-99B1D0D5C9A4	مكتب عبيده غالب الشبل	1	A45EE5D4-5F44-46F8-ABC6-99B1D0D5C9A4	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	ايجار مكتب عبيده الشبل المستحق من 01/01/2025حتى 01/07/2025	35410.8	30792.0	0.0	0.0	0.0	0.0	35410.8	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		B23C0B22-366E-4486-9A47-8E3C3A798E4E	1	4618.8								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	True	2025-01-06 10:47:53	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	0	1C3E34D7-EAF3-4C10-9E26-A02B936B9102	0.0	0.0	
32F717CB-74D6-4C56-822A-543050CDB991	3.0	2024-12-06 00:00:00	C94A6383-DD99-4FD2-8CBB-5E9A03371D2A	شركة أنهار العناية للتجارة	1	C94A6383-DD99-4FD2-8CBB-5E9A03371D2A	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	ايجار مكتب عبيده الشبل المستحق من 01/01/2025حتى 01/07/2025	115000.0	100000.0	0.0	0.0	0.0	0.0	115000.0	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		4E534067-9D28-4388-ACF2-3BB3C1D303A7	1	15000.0								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	False	2025-01-22 15:16:39	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	1	931F473A-C2FF-4A3F-AFC2-D645B27FEA16	0.0	0.0	
83DFA476-5D7D-428E-A14F-1ABCC4C81B04	15.0	2024-12-06 00:00:00	C94A6383-DD99-4FD2-8CBB-5E9A03371D2A	شركة أنهار العناية للتجارة	1	C94A6383-DD99-4FD2-8CBB-5E9A03371D2A	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال حديد وخشب وتجهيزات مستودع	115000.0	100000.0	0.0	0.0	0.0	0.0	115000.0	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		4E534067-9D28-4388-ACF2-3BB3C1D303A7	1	15000.0								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	False	2025-01-22 15:18:48	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	1	931F473A-C2FF-4A3F-AFC2-D645B27FEA16	0.0	0.0	
91834488-622B-4C3A-B431-86A554BDD876	135.0	2024-10-15 00:00:00	0A7207E0-CD67-43C7-AEC9-33195FB62F69	شركة باشن فيلم للانتاج الفني	0	321D3977-998A-444A-88B9-1999F88DCBC8	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	98238.75	85425.0	0.0	0.0	0.0	0.0	98238.75	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		4E534067-9D28-4388-ACF2-3BB3C1D303A7	1	12813.75								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	True	2025-01-23 12:58:44	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	1	E8D203B5-D59C-4B3D-9978-2E5AAD133080	0.0	0.0	
D7F15D1C-F765-47E2-BF50-2F669A9F06DB	141.0	2024-11-27 00:00:00	0A7207E0-CD67-43C7-AEC9-33195FB62F69	شركة باشن فيلم للانتاج الفني	0	321D3977-998A-444A-88B9-1999F88DCBC8	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	104919.1	91234.0	0.0	0.0	0.0	0.0	104919.1	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		4E534067-9D28-4388-ACF2-3BB3C1D303A7	1	13685.1								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	True	2025-01-23 13:01:05	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	1	E8D203B5-D59C-4B3D-9978-2E5AAD133080	0.0	0.0	
3A9DF4D7-B0E2-49D2-A436-37F488160D4D	162.0	2024-12-09 00:00:00	0A7207E0-CD67-43C7-AEC9-33195FB62F69	شركة باشن فيلم للانتاج الفني	0	321D3977-998A-444A-88B9-1999F88DCBC8	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	81246.35	70649.0	0.0	0.0	0.0	0.0	81246.35	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		4E534067-9D28-4388-ACF2-3BB3C1D303A7	1	10597.35								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	True	2025-01-23 13:02:30	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	1	E8D203B5-D59C-4B3D-9978-2E5AAD133080	0.0	0.0	
90716F95-77B6-415A-B1D3-1FE3E7F0FC84	815.0	2024-10-15 00:00:00	0A7207E0-CD67-43C7-AEC9-33195FB62F69	شركة باشن فيلم للانتاج الفني	0	321D3977-998A-444A-88B9-1999F88DCBC8	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	98238.75	85425.0	0.0	0.0	0.0	0.0	98238.75	0	343243E5-6620-4057-A61F-E75FA7374FEF	00000000-0000-0000-0000-000000000000	E21797E2-416F-4BAA-B7B3-8EAC39754318	00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		4E534067-9D28-4388-ACF2-3BB3C1D303A7	1	12813.75								1899-12-30 00:00:00	1899-12-30 00:00:00	1899-12-30 00:00:00	00000000-0000-0000-0000-000000000000	0	0	False	2025-01-23 12:57:37	00000000-0000-0000-0000-000000000000	0	00000000-0000-0000-0000-000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0	0	0.0	0.0	NULL	False	1	E8D203B5-D59C-4B3D-9978-2E5AAD133080	0.0	0.0	
